"id","NbrePages10ID","livreID"
"1340","11","1340"
"1341","1","1341"
"1342","1","1342"
"1343","20","1343"
"1344","173","1344"
"1345","14","1345"
"1346","154","1346"
"1347","46","1347"
"1348","22","1348"
"1349","20","1349"
"1350","28","1350"
"1351","16","1351"
"1352","20","1352"
"1353","12","1353"
"1354","36","1354"
"1355","47","1355"
"1356","39","1356"
"1357","14","1357"
"1358","10","1358"
"1359","14","1359"
"1360","1","1360"
"1361","17","1361"
"1362","13","1362"
"1363","24","1363"
"1364","17","1364"
"1365","28","1365"
"1366","22","1366"
"1367","29","1367"
"1368","16","1368"
"1369","19","1369"
"1370","62","1370"
"1371","46","1371"
"1372","19","1372"
"1373","21","1373"
"1374","19","1374"
"1375","22","1375"
"1376","23","1376"
"1377","14","1377"
"1378","17","1378"
"1379","65","1379"
"1380","22","1380"
"1381","22","1381"
"1382","15","1382"
"1383","15","1383"
"1384","29","1384"
"1385","39","1385"
"1386","26","1386"
"1387","32","1387"
"1388","23","1388"
"1389","23","1389"
"1390","1","1390"
"1391","20","1391"
"1392","38","1392"
"1393","14","1393"
"1394","33","1394"
"1395","49","1395"
"1396","1","1396"
"1397","14","1397"
"1398","61","1398"
"1399","23","1399"
"1400","6","1400"
"1401","10","1401"
"1402","22","1402"
"1403","30","1403"
"1404","1","1404"
"1405","10","1405"
"1406","17","1406"
"1407","26","1407"
"1408","68","1408"
"1409","17","1409"
"1410","11","1410"
"1411","1","1411"
"1412","28","1412"
"1413","49","1413"
"1414","39","1414"
"1415","1","1415"
"1416","1","1416"
"1417","1","1417"
"1418","38","1418"
"1419","36","1419"
"1420","20","1420"
"1421","51","1421"
"1422","34","1422"
"1423","57","1423"
"1424","53","1424"
"1425","17","1425"
"1426","11","1426"
"1427","1","1427"
"1428","27","1428"
"1429","17","1429"
"1430","19","1430"
"1431","45","1431"
"1432","39","1432"
"1433","154","1433"
"1434","23","1434"
"1435","52","1435"
"1436","27","1436"
"1437","16","1437"
"1438","30","1438"
"1439","39","1439"
"1440","43","1440"
"1441","139","1441"
"1442","43","1442"
"1443","87","1443"
"1444","118","1444"
"1445","38","1445"
"1446","25","1446"
"1447","26","1447"
"1448","4","1448"
"1449","91","1449"
"1450","141","1450"
"1451","37","1451"
"1452","4","1452"
"1453","12","1453"
"1454","28","1454"
"1455","25","1455"
"1456","1","1456"
"1457","15","1457"
"1458","9","1458"
"1459","11","1459"
"1460","11","1460"
"1461","1","1461"
"1462","12","1462"
"1463","49","1463"
"1464","41","1464"
"1465","19","1465"
"1466","12","1466"
"1467","41","1467"
"1468","27","1468"
"1469","40","1469"
"1470","25","1470"
"1471","1","1471"
"1472","33","1472"
"1473","33","1473"
"1474","15","1474"
"1475","1","1475"
"1476","23","1476"
"1477","59","1477"
"1478","38","1478"
"1479","23","1479"
"1480","12","1480"
"1481","50","1481"
"1482","122","1482"
"1483","128","1483"
"1484","55","1484"
"1485","13","1485"
"1486","19","1486"
"1487","1","1487"
"1488","35","1488"
"1489","14","1489"
"1490","28","1490"
"1491","1","1491"
"1492","21","1492"
"1493","36","1493"
"1494","30","1494"
"1495","13","1495"
"1496","1","1496"
"1497","11","1497"
"1498","179","1498"
"1499","6","1499"
"1500","36","1500"
"1501","9","1501"
"1502","1","1502"
"1503","17","1503"
"1504","3","1504"
"1505","42","1505"
"1506","35","1506"
"1507","62","1507"
"1508","17","1508"
"1509","49","1509"
"1510","91","1510"
"1511","52","1511"
"1512","1","1512"
"1513","52","1513"
"1514","23","1514"
"1515","36","1515"
"1516","58","1516"
"1517","32","1517"
"1518","20","1518"
"1519","84","1519"
"1520","15","1520"
"1521","100","1521"
"1522","37","1522"
"1523","58","1523"
"1524","35","1524"
"1525","41","1525"
"1526","25","1526"
"1527","54","1527"
"1528","163","1528"
"1529","91","1529"
"1530","49","1530"
"1531","109","1531"
"1532","10","1532"
"1533","95","1533"
"1534","81","1534"
"1535","56","1535"
"1536","43","1536"
"1537","51","1537"
"1538","46","1538"
"1539","1","1539"
"1540","4","1540"
"1541","20","1541"
"1542","11","1542"
"1543","73","1543"
"1544","59","1544"
"1545","17","1545"
"1546","87","1546"
"1547","114","1547"
"1548","38","1548"
"1549","31","1549"
"1550","78","1550"
"1551","14","1551"
"1552","38","1552"
"1553","34","1553"
"1554","65","1554"
"1555","12","1555"
"1556","17","1556"
"1557","10","1557"
"1558","40","1558"
"1559","14","1559"
"1560","26","1560"
"1561","90","1561"
"1562","35","1562"
"1563","25","1563"
"1564","4","1564"
"1565","30","1565"
"1566","20","1566"
"1567","48","1567"
"1568","46","1568"
"1569","129","1569"
"1570","39","1570"
"1571","7","1571"
"1572","1","1572"
"1573","33","1573"
"1574","4","1574"
"1575","4","1575"
"1576","21","1576"
"1577","118","1577"
"1578","9","1578"
"1579","4","1579"
"1580","14","1580"
"1581","16","1581"
"1582","23","1582"
"1583","14","1583"
"1584","25","1584"
"1585","65","1585"
"1586","11","1586"
"1587","3","1587"
