"id","note_allocine_publicID","filmID"
"2877","21","3582"
"2878","24","3583"
"2879","17","3586"
"2880","26","3588"
"2881","26","3589"
"2882","19","3591"
"2883","18","3592"
"2884","20","3593"
"2885","19","3597"
"2886","26","3598"
"2887","19","3600"
"2888","27","3601"
"2889","24","3602"
"2890","31","3603"
"2891","18","3604"
"2892","19","3606"
"2893","23","3608"
"2894","20","3609"
"2895","16","3610"
"2896","25","3611"
"2897","19","3612"
"2898","19","3613"
"2899","19","3614"
"2900","24","3615"
"2901","21","3617"
"2902","19","3618"
"2903","29","3621"
"2904","26","3622"
"2905","23","3623"
"2906","20","3624"
"2907","23","3627"
"2908","31","3628"
"2909","18","3629"
"2910","25","3631"
"2911","13","3632"
"2912","20","3633"
"2913","18","3634"
"2914","18","3635"
"2915","19","3636"
"2916","20","3637"
"2917","20","3638"
"2918","19","3639"
"2919","23","3641"
"2920","21","3642"
"2921","20","3643"
"2922","16","3645"
"2923","26","3649"
"2924","28","3650"
"2925","18","3651"
"2926","19","3652"
"2927","17","3653"
"2928","16","3664"
"2929","19","3669"
"2930","19","3670"
"2931","18","3671"
"2932","21","3678"
"2933","22","3679"
"2934","20","3680"
"2935","28","3681"
"2936","19","3682"
"2937","22","3683"
"2938","24","3685"
"2939","27","3686"
"2940","28","3687"
"2941","19","3688"
"2942","12","3691"
"2943","19","3693"
"2944","19","3694"
"2945","19","3698"
"2946","19","3701"
"2947","16","3702"
"2948","20","3705"
"2949","23","3706"
"2950","18","3708"
"2951","19","3711"
"2952","16","3712"
"2953","22","3713"
"2954","18","3714"
"2955","16","3716"
"2956","20","3718"
"2957","19","3719"
"2958","19","3720"
"2959","24","3721"
"2960","17","3729"
"2961","25","3730"
"2962","20","3731"
"2963","14","3732"
"2964","22","3736"
"2965","29","3737"
"2966","24","3738"
"2967","19","3739"
"2968","21","3740"
"2969","24","3741"
"2970","18","3742"
"2971","19","3743"
"2972","28","3745"
"2973","20","3746"
"2974","27","3748"
"2975","24","3751"
"2976","25","3752"
"2977","24","3753"
"2978","20","3754"
"2979","22","3755"
"2980","25","3756"
"2981","21","3757"
"2982","19","3758"
"2983","19","3759"
"2984","17","3761"
"2985","21","3763"
"2986","21","3767"
"2987","22","3769"
"2988","22","3770"
"2989","20","3772"
"2990","17","3774"
"2991","19","3780"
"2992","22","3781"
"2993","20","3782"
"2994","28","3783"
"2995","23","3784"
"2996","18","3786"
"2997","29","3788"
"2998","20","3789"
"2999","19","3790"
"3000","22","3791"
"3001","19","3792"
"3002","20","3793"
"3003","17","3797"
"3004","19","3799"
"3005","15","3800"
"3006","18","3801"
"3007","19","3802"
"3008","21","3805"
"3009","23","3807"
"3010","18","3808"
"3011","17","3809"
"3012","18","3810"
"3013","19","3811"
"3014","20","3812"
"3015","20","3813"
"3016","18","3814"
"3017","26","3815"
"3018","19","3816"
"3019","19","3817"
"3020","19","3818"
"3021","25","3819"
"3022","17","3820"
"3023","27","3821"
"3024","21","3822"
"3025","16","3824"
"3026","21","3825"
"3027","22","3828"
"3028","20","3832"
"3029","23","3833"
"3030","12","3834"
"3031","21","3835"
"3032","19","3836"
"3033","19","3839"
"3034","18","3840"
"3035","27","3841"
"3036","18","3842"
"3037","22","3844"
"3038","21","3845"
"3039","26","3848"
"3040","21","3850"
"3041","23","3851"
"3042","19","3854"
"3043","21","3855"
"3044","20","3857"
"3045","19","3862"
"3046","20","3863"
"3047","15","3864"
"3048","28","3865"
"3049","24","3866"
"3050","19","3867"
"3051","25","3873"
"3052","19","3876"
"3053","24","3877"
"3054","14","3878"
"3055","28","3879"
"3056","19","3882"
"3057","18","3883"
"3058","14","3884"
"3059","24","3885"
"3060","24","3886"
"3061","15","3887"
"3062","23","3888"
"3063","28","3890"
"3064","20","3893"
"3065","19","3895"
"3066","20","3896"
"3067","19","3898"
"3068","19","3900"
